key,status,file_defined,line_defined,family,first_usage_location
SettingImage4,USED,Constants.xaml,603,SettingImage,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\SettingsMenus.xaml:45
SettingImage5,USED,Constants.xaml,604,SettingImage,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\SettingsMenus.xaml:48
SettingImage6,USED,Constants.xaml,605,SettingImage,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\SettingsMenus.xaml:51
SettingImage7,USED,Constants.xaml,606,SettingImage,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\SettingsMenus.xaml:54
SettingImage8,USED,Constants.xaml,607,SettingImage,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\SettingsMenus.xaml:57
SettingImage9,USED,Constants.xaml,608,SettingImage,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\SettingsMenus.xaml:60
SettingsMenuAudioButtonTemplate,UNUSED?,Views\SettingsMenus.xaml,488,,
SettingsMenuBorder,UNUSED?,Views\SettingsMenus.xaml,6,,
SettingsMenuButton,UNUSED?,Views\SettingsMenus.xaml,135,,
SettingsMenuGeneralButtonTemplate,UNUSED?,Views\SettingsMenus.xaml,456,,
SettingsMenuHeaderTemplate,UNUSED?,Views\SettingsMenus.xaml,191,,
SettingsMenuInputButtonTemplate,UNUSED?,Views\SettingsMenus.xaml,516,,
SettingsMenuLayoutButtonTemplate,UNUSED?,Views\SettingsMenus.xaml,502,,
SettingsMenuMenusButtonTemplate,UNUSED?,Views\SettingsMenus.xaml,509,,
SettingsMenuThemeOptionsButtonTemplate,UNUSED?,Views\SettingsMenus.xaml,495,,
SettingsMenuVisualsButtonTemplate,UNUSED?,Views\SettingsMenus.xaml,481,,
SettingsSectionBorder,UNUSED?,Views\SettingsMenus.xaml,122,,
SettingsSectionCheckbox,USED,Views\SettingsMenus.xaml,342,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:754
SettingsSectionCombobox,UNUSED?,Views\SettingsMenus.xaml,441,,
SettingsSectionInputBoxStyle,UNUSED?,Views\SettingsMenus.xaml,431,,
SettingsSectionInputBoxTemplate,UNUSED?,Views\SettingsMenus.xaml,463,,
SettingsSectionItemSpacing,USED,Views\SettingsMenus.xaml,333,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\SettingsMenus.xaml:338
SettingsSectionSlider,USED,Views\SettingsMenus.xaml,336,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:641
SettingsSectionText,UNUSED?,Views\SettingsMenus.xaml,448,,
ShadeBackground,USED,Constants.xaml,119,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\Main.xaml:204
ShadeOpacity,USED,Constants.xaml,18,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:2714
SliderThumb,USED,DefaultControls\Slider.xaml,18,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\DefaultControls\Slider.xaml:46
SliderTrackButton,USED,DefaultControls\Slider.xaml,4,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\DefaultControls\Slider.xaml:49
SoftwareToolMenuButton,UNUSED?,Views\CustomMenus.xaml,27,,
SoftwareToolsBorder,UNUSED?,Views\CustomMenus.xaml,42,,
SourceLogoOnTopScreen,USED,Constants.xaml,26,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Themes Option\4.IntroVideo\Nope\Main.xaml:1193
StaticBorderBrush,USED,Constants.xaml,259,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\DefaultControls\TextBox.xaml:27
StaticBorderBrushAlt,USED,Constants.xaml,285,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\DefaultControls\TextBox.xaml:22
StaticFlashMenu,UNUSED?,Images\Interface\1-Default\Constants.xaml,235,,
SteamBanner,UNUSED?,Constants.xaml,39,,
SubBackground,UNUSED?,Images\Interface\1-Default\Constants.xaml,50,,
SuccessChangeToggle,USED,DefaultControls\ToggleButton.xaml,1511,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\GameDetails.xaml:3961
SuccessFlashFocus,USED,Constants.xaml,481,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\GameDetails.xaml:4049
SuccessMainButton,USED,DefaultControls\CheckBox.xaml,913,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\Main.xaml:1591
SuccessMenu,USED,Constants.xaml,136,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Themes Option\7.Other Views\Trailer Only\GameDetails.xaml:2976
SuccessOnMainMenu,USED,Constants.xaml,24,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Themes Option\4.IntroVideo\Nope\Main.xaml:382
SuccessSorting,USED,DefaultControls\ToggleButton.xaml,1586,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\GameDetails.xaml:3946
SuccessToggle,USED,DefaultControls\ToggleButton.xaml,1259,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Themes Option\7.Other Views\Trailer Only\GameDetails.xaml:787
SwitchViewBackground,USED,Images\Interface\1-Default\Constants.xaml,51,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Images\Interface\1-Default\Constants.xaml:84
SwitchViewBackgroundBrush,UNUSED?,Images\Interface\1-Default\Constants.xaml,84,,
THEMEOPTIONS_Commands,USED,Views\2Main.xaml,31,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:115
TextAltBrush,USED,Constants.xaml,93,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\DefaultControls\Button.xaml:764
